ID,violent,years,arrest
1517,0,0,0
1517,0,1,0
1517,0,2,0
1535,0,0,10
1535,0,1,3
1535,0,2,0
1561,0,0,3
1561,0,1,0
1561,0,2,0
1572,1,0,0
1572,1,1,0
1572,1,2,0
1585,1,0,2
1585,1,1,0
1585,1,2,0
1593,1,0,8
1593,1,1,4
1593,1,2,1
1596,1,0,0
1596,1,1,0
1596,1,2,0
1599,1,0,2
1599,1,1,0
1599,1,2,0
1601,0,0,0
1601,0,1,0
1601,0,2,0
1604,0,0,0
1604,0,1,0
1604,0,2,0
1627,1,0,2
1627,1,1,1
1627,1,2,0
1639,1,0,0
1639,1,1,1
1639,1,2,1
1640,0,0,0
1640,0,1,0
1640,0,2,0
1643,0,0,0
1643,0,1,0
1643,0,2,4
1645,0,0,0
1645,0,1,0
1645,0,2,0
1651,0,0,0
1651,0,1,0
1651,0,2,0
1658,0,0,0
1658,0,1,1
1658,0,2,2
1661,1,0,0
1661,1,1,0
1661,1,2,0
1698,0,0,0
1698,0,1,1
1698,0,2,0
1705,0,0,5
1705,0,1,0
1705,0,2,0
1706,0,0,1
1706,0,1,1
1706,0,2,0
1740,0,0,0
1740,0,1,0
1740,0,2,2
1752,0,0,1
1752,0,1,1
1752,0,2,2
1753,0,0,0
1753,0,1,0
1753,0,2,0
1757,1,0,14
1757,1,1,5
1757,1,2,21
1764,0,0,1
1764,0,1,0
1764,0,2,0
1765,1,0,3
1765,1,1,0
1765,1,2,0
1767,0,0,0
1767,0,1,0
1767,0,2,0
1775,1,0,8
1775,1,1,3
1775,1,2,0
1791,0,0,0
1791,0,1,0
1791,0,2,0
1804,0,0,4
1804,0,1,0
1804,0,2,3
1816,0,0,0
1816,0,1,1
1816,0,2,0
1822,0,0,0
1822,0,1,0
1822,0,2,2
1834,1,0,0
1834,1,1,0
1834,1,2,0
1843,0,0,3
1843,0,1,3
1843,0,2,0
1860,1,0,0
1860,1,1,6
1860,1,2,1
1861,0,0,0
1861,0,1,0
1861,0,2,0
1871,0,0,0
1871,0,1,1
1871,0,2,0
1872,1,0,1
1872,1,1,2
1872,1,2,12
1873,0,0,0
1873,0,1,0
1873,0,2,0
1886,0,0,4
1886,0,1,6
1886,0,2,1
1892,1,0,0
1892,1,1,0
1892,1,2,0
1902,0,0,0
1902,0,1,0
1902,0,2,0
1949,0,0,7
1949,0,1,1
1949,0,2,4
1964,0,0,0
1964,0,1,1
1964,0,2,0
1965,0,0,0
1965,0,1,0
1965,0,2,0
1966,0,0,1
1966,0,1,2
1966,0,2,3
1968,0,0,1
1968,0,1,0
1968,0,2,0
1969,0,0,0
1969,0,1,0
1969,0,2,0
1970,1,0,0
1970,1,1,0
1970,1,2,2
1973,0,0,0
1973,0,1,0
1973,0,2,0
1980,1,0,0
1980,1,1,2
1980,1,2,1
1988,0,0,0
1988,0,1,0
1988,0,2,0
1994,1,0,0
1994,1,1,0
1994,1,2,0
2002,0,0,0
2002,0,1,1
2002,0,2,1
2008,0,0,1
2008,0,1,0
2008,0,2,0
2037,0,0,1
2037,0,1,1
2037,0,2,0
2045,0,0,4
2045,0,1,1
2045,0,2,13
2051,0,0,2
2051,0,1,0
2051,0,2,0
2054,1,0,0
2054,1,1,0
2054,1,2,1
2055,1,0,0
2055,1,1,0
2055,1,2,0
2062,0,0,0
2062,0,1,0
2062,0,2,0
2066,0,0,3
2066,0,1,2
2066,0,2,0
2068,1,0,2
2068,1,1,1
2068,1,2,0
2097,0,0,0
2097,0,1,0
2097,0,2,0
2100,0,0,0
2100,0,1,1
2100,0,2,0
2118,0,0,0
2118,0,1,0
2118,0,2,0
2125,0,0,0
2125,0,1,0
2125,0,2,0
2126,0,0,0
2126,0,1,1
2126,0,2,0
2170,1,0,0
2170,1,1,2
2170,1,2,4
2182,0,0,0
2182,0,1,0
2182,0,2,0
2183,0,0,0
2183,0,1,0
2183,0,2,0
2187,0,0,0
2187,0,1,2
2187,0,2,0
2195,0,0,0
2195,0,1,6
2195,0,2,2
2209,0,0,0
2209,0,1,0
2209,0,2,0
2210,0,0,0
2210,0,1,1
2210,0,2,0
2217,1,0,0
2217,1,1,0
2217,1,2,0
2220,1,0,0
2220,1,1,0
2220,1,2,0
2223,0,0,2
2223,0,1,1
2223,0,2,1
2225,1,0,0
2225,1,1,0
2225,1,2,1
2231,0,0,6
2231,0,1,2
2231,0,2,0
2232,0,0,0
2232,0,1,0
2232,0,2,0
2237,0,0,0
2237,0,1,0
2237,0,2,0
2243,1,0,0
2243,1,1,2
2243,1,2,0
2245,1,0,0
2245,1,1,0
2245,1,2,1
2248,0,0,0
